Summons_Number,Plate_ID,Registration_State,Plate_Type,Issue_Date,Violation_Code,Vehicle_Body_Type,Vehicle_Make,Vehicle_Color,Vehicle_Year,Violation_Description,Street_Name,Violation_County,Fine_Amount,Month,Month_Name,Quarter,Day_of_Week,Day_Num,Week_Num,Is_Weekend,Fine_Category,Vehicle_Age,Vehicle_Age_Group,Vehicle_Type_Group,Is_OutOfState,State_Group,Plate_Category,Street_Type,Street_Total_Revenue,Street_Ticket_Count,Ticket_Count_Per_Plate,Is_Repeat_Offender,Offender_Tier,Violation_Severity,Is_Avoidable,Data_Completeness_Score,Is_Complete_Record
6028321870,CKL0647,NY,OMT,2014-03-16,21,SUV,OTHER,GREEN,2008.0,No Parking - Street Cleaning,AMSTERDAM AVE,Brooklyn,65.0,3.0,March,1.0,Sunday,6.0,11,1,Medium,6.0,6-10,OTHER,0,NY,Other,AVE,58295.0,663.0,1.0,0,1-2,Standard,1,36,1
2673161789,UFU0033,NY,PAS,,21,SDN,HONDA,WHITE,2005.0,No Parking - Street Cleaning,5TH AVE,Manhattan,65.0,,,,,,,0,Medium,9.0,6-10,OTHER,0,NY,Passenger,AVE,58895.0,683.0,1.0,0,1-2,Standard,1,29,1
8944100417,CKU1705,CT,COM,2013-07-14,14,SDN,CHEVROLET,BLACK,2000.0,No Standing - Day/Time Limits,BROADWAY,Queens,115.0,7.0,July,3.0,Sunday,6.0,28,1,High,14.0,11-15,OTHER,1,Tri-State,Other,BROADWAY,59700.0,710.0,1.0,0,1-2,Standard,1,36,1
5842885728,KRA6870,MD,COM,2014-04-14,46,SUV,CHEVROLET,BLACK,2005.0,Double Parking,GRAND CONCOURSE,Manhattan,115.0,4.0,April,2.0,Monday,0.0,16,0,High,9.0,6-10,OTHER,1,Other,Other,CONCOURSE,61160.0,714.0,1.0,0,1-2,Safety-Critical,0,36,1
9630725905,TRY8893,NY,COM,,74,SDN,VOLKSWAGEN,BLACK,2011.0,Missing Required Equipment,PARK AVE,Manhattan,65.0,,,,,,,0,Medium,3.0,0-5,OTHER,0,NY,Other,AVE,57350.0,660.0,1.0,0,1-2,Standard,0,29,1
1542747974,WMR8980,NY,OMT,2014-05-29,83,SDN,NISSAN,WHITE,2001.0,Improper Registration,RICHMOND AVE,Brooklyn,65.0,5.0,May,2.0,Thursday,3.0,22,0,Medium,13.0,11-15,OTHER,0,NY,Other,AVE,58315.0,661.0,1.0,0,1-2,Standard,0,36,1
8453582359,EAN6467,NJ,PAS,2014-06-25,14,SUV,CHEVROLET,GREEN,2011.0,No Standing - Day/Time Limits,HILLSIDE AVE,Brooklyn,115.0,6.0,June,2.0,Wednesday,2.0,26,0,High,3.0,0-5,OTHER,1,Tri-State,Passenger,AVE,58535.0,679.0,1.0,0,1-2,Standard,1,36,1
9480412265,PVK7986,NY,IRP,,21,bus,BMW,GRAY,2000.0,No Parking - Street Cleaning,FULTON ST,Bronx,65.0,,,,,,,0,Medium,14.0,11-15,OTHER,0,NY,Other,ST,58275.0,675.0,1.0,0,1-2,Standard,1,29,1
7909326720,VBP5870,NJ,PAS,,37,VAN,VOLVO,,2013.0,Expired Muni Meter,ATLANTIC AVE,Manhattan,65.0,,,,,,,0,Medium,1.0,0-5,Commercial,1,Tri-State,Passenger,AVE,56870.0,658.0,1.0,0,1-2,Standard,1,28,1
8330593321,YFW5025,NJ,APP,,46,SDN,TOYOTA,SILVER,2001.0,Double Parking,NOSTRAND AVE,Brooklyn,115.0,,,,,,,0,High,13.0,11-15,OTHER,1,Tri-State,Other,AVE,60875.0,705.0,1.0,0,1-2,Safety-Critical,0,29,1
6081395246,BMB1166,UNKNOWN,PAS,2014-02-15,20,SUV,HONDA,WHITE,1998.0,No Parking - Day/Time Limits,BEDFORD AVE,Queens,65.0,2.0,February,1.0,Saturday,5.0,7,1,Medium,16.0,16+,OTHER,1,Other,Passenger,AVE,59825.0,695.0,1.0,0,1-2,Standard,1,36,1
9530862812,JWS6488,NY,PAS,2014-04-28,40,SUV,VOLVO,SILVER,,Fire Hydrant,GRAND CONCOURSE,Manhattan,115.0,4.0,April,2.0,Monday,0.0,18,0,High,,,OTHER,0,NY,Passenger,CONCOURSE,61160.0,714.0,1.0,0,1-2,Safety-Critical,0,33,1
8724365118,CSM6581,NY,COM,2013-11-20,20,,VOLVO,WHITE,2000.0,No Parking - Day/Time Limits,LEXINGTON AVE,Queens,65.0,11.0,November,4.0,Wednesday,2.0,47,0,Medium,14.0,11-15,OTHER,0,NY,Other,AVE,59390.0,696.0,1.0,0,1-2,Standard,1,35,1
7452025499,LRT9304,NY,com,,14,SDN,HONDA,SILVER,2004.0,No Standing - Day/Time Limits,BEDFORD AVE,Manhattan,115.0,,,,,,,0,High,10.0,6-10,OTHER,0,NY,Other,AVE,59825.0,695.0,1.0,0,1-2,Standard,1,29,1
4496203239,HQK7698,NY,PAS,2013-09-20,37,SDN,HONDA,WHITE,2012.0,Expired Muni Meter,JAMAICA AVE,Manhattan,65.0,9.0,September,3.0,Friday,4.0,38,0,Medium,2.0,0-5,OTHER,0,NY,Passenger,AVE,59330.0,692.0,1.0,0,1-2,Standard,1,36,1
4684744684,JVW9329,MA,COM,2014-06-23,46,SUBN,CHEVROLET,YELLOW,2001.0,Double Parking,FLATBUSH AVE,Bronx,115.0,6.0,June,2.0,Monday,0.0,26,0,High,13.0,11-15,Passenger,1,Other,Other,AVE,58250.0,690.0,1.0,0,1-2,Safety-Critical,0,36,1
9364254047,YRV7763,UNKNOWN,PAS,,74,VAN,TOYOTA,,2006.0,Missing Required Equipment,RICHMOND AVE,Staten Island,65.0,,,,,,,0,Medium,8.0,6-10,Commercial,1,Other,Passenger,AVE,58315.0,661.0,1.0,0,1-2,Standard,0,28,1
9977085483,JLT8744,FL,PAS,2013-12-22,46,SUBN,NISSAN,RED,,Double Parking,BEDFORD AVE,Bronx,115.0,12.0,December,4.0,Sunday,6.0,51,1,High,,,Passenger,1,Other,Passenger,AVE,59825.0,695.0,1.0,0,1-2,Safety-Critical,0,33,1
1341341981,CDC7249,NY,COM,2013-11-20,40,BUS,TOYOTA,GRAY,1999.0,Fire Hydrant,LEXINGTON AVE,,115.0,11.0,November,4.0,Wednesday,2.0,47,0,High,15.0,11-15,OTHER,0,NY,Other,AVE,59390.0,696.0,1.0,0,1-2,Safety-Critical,0,35,1
4135124384,QJZ9696,NJ,PAS,2013-09-18,74,SDN,TOYOTA,BLACK,1999.0,Missing Required Equipment,NOSTRAND AVE,Manhattan,65.0,9.0,September,3.0,Wednesday,2.0,38,0,Medium,15.0,11-15,OTHER,1,Tri-State,Passenger,AVE,60875.0,705.0,1.0,0,1-2,Standard,0,36,1
5058172647,NJQ5711,NY,PAS,2013-10-19,46,COMO,BMW,BLACK,1998.0,Double Parking,NOSTRAND AVE,Queens,115.0,10.0,October,4.0,Saturday,5.0,42,1,High,16.0,16+,OTHER,0,NY,Passenger,AVE,60875.0,705.0,1.0,0,1-2,Safety-Critical,0,36,1
1246580623,BES8451,MA,APP,2013-12-20,40,SUV,VOLVO,YELLOW,2010.0,Fire Hydrant,FULTON ST,Brooklyn,115.0,12.0,December,4.0,Friday,4.0,51,0,High,4.0,0-5,OTHER,1,Other,Other,ST,58275.0,675.0,1.0,0,1-2,Safety-Critical,0,36,1
8487886592,CCL5136,NY,PAS,2013-08-22,46,SDN,CHEVROLET,BROWN,1998.0,Double Parking,COLUMBUS AVE,Manhattan,115.0,8.0,August,3.0,Thursday,3.0,34,0,High,16.0,16+,OTHER,0,NY,Passenger,AVE,54800.0,650.0,1.0,0,1-2,Safety-Critical,0,36,1
4755317390,BUM2331,UNKNOWN,PAS,2013-08-17,14,TAXI,FORD,GRAY,2005.0,No Standing - Day/Time Limits,AMSTERDAM AVE,Brooklyn,115.0,8.0,August,3.0,Saturday,5.0,33,1,High,9.0,6-10,OTHER,1,Other,Passenger,AVE,58295.0,663.0,1.0,0,1-2,Standard,1,36,1
4138750794,TMF3341,UNKNOWN,PAS,,74,SUV,OTHER,BLACK,2013.0,Missing Required Equipment,NOSTRAND AVE,Manhattan,65.0,,,,,,,0,Medium,1.0,0-5,OTHER,1,Other,Passenger,AVE,60875.0,705.0,1.0,0,1-2,Standard,0,29,1
7355073910,SUY2515,UNKNOWN,PAS,2013-08-19,20,SUV,BMW,WHITE,1998.0,No Parking - Day/Time Limits,BEDFORD AVE,Bronx,65.0,8.0,August,3.0,Monday,0.0,34,0,Medium,16.0,16+,OTHER,1,Other,Passenger,AVE,59825.0,695.0,1.0,0,1-2,Standard,1,36,1
3997380182,WQG3451,PA,OMT,2013-12-31,37,SDN,OTHER,WHITE,2008.0,Expired Muni Meter,FORDHAM RD,Manhattan,65.0,12.0,December,4.0,Tuesday,1.0,1,0,Medium,6.0,6-10,OTHER,1,Other,Other,RD,61945.0,723.0,1.0,0,1-2,Standard,1,36,1
2741486648,PBR5397,NY,PAS,2013-12-24,21,SDN,CHEVROLET,,2004.0,No Parking - Street Cleaning,MADISON AVE,Queens,65.0,12.0,December,4.0,Tuesday,1.0,52,0,Medium,10.0,6-10,OTHER,0,NY,Passenger,AVE,58890.0,676.0,1.0,0,1-2,Standard,1,35,1
3646930819,GTW3763,TX,com,,14,BUS,HONDA,BLACK,2005.0,No Standing - Day/Time Limits,FULTON ST,Brooklyn,115.0,,,,,,,0,High,9.0,6-10,OTHER,1,Other,Other,ST,58275.0,675.0,1.0,0,1-2,Standard,1,29,1
4203690252,SMM8030,NJ,PAS,2013-11-13,36,SUV,BMW,WHITE,2011.0,Exceeding Parking Time Limit,FORDHAM RD,Brooklyn,65.0,11.0,November,4.0,Wednesday,2.0,46,0,Medium,3.0,0-5,OTHER,1,Tri-State,Passenger,RD,61945.0,723.0,1.0,0,1-2,Standard,0,36,1
8362261450,HHH3560,NJ,,2013-07-23,71,BUS,CHEVROLET,GRAY,2012.0,Inspection Sticker Expired,JAMAICA AVE,Brooklyn,65.0,7.0,July,3.0,Tuesday,1.0,30,0,Medium,2.0,0-5,OTHER,1,Tri-State,Other,AVE,59330.0,692.0,1.0,0,1-2,Standard,1,35,1
8514766634,JWD9165,NJ,PAS,2014-02-21,21,,FORD,RED,2003.0,No Parking - Street Cleaning,PARK AVE,Manhattan,65.0,2.0,February,1.0,Friday,4.0,8,0,Medium,11.0,11-15,OTHER,1,Tri-State,Passenger,AVE,57350.0,660.0,1.0,0,1-2,Standard,1,35,1
3616466630,EQW4348,CT,PAS,,40,sdn,HONDA,BROWN,,Fire Hydrant,PARK AVE,Staten Island,115.0,,,,,,,0,High,,,OTHER,1,Tri-State,Passenger,AVE,57350.0,660.0,1.0,0,1-2,Safety-Critical,0,26,1
7903616825,ECN8798,NY,PAS,,14,SDN,FORD,SILVER,1998.0,No Standing - Day/Time Limits,,Bronx,115.0,,,,,,,0,High,16.0,16+,OTHER,0,NY,Passenger,,,,1.0,0,1-2,Standard,1,25,1
5143128978,HKU2962,NY,OMS,,38,SUV,BMW,RED,2009.0,Failure to Display Muni Meter Receipt,GRAND CONCOURSE,Bronx,65.0,,,,,,,0,Medium,5.0,0-5,OTHER,0,NY,Other,CONCOURSE,61160.0,714.0,1.0,0,1-2,Standard,0,29,1
1966662179,BTA1474,NY,PAS,,37,SDN,TOYOTA,BLACK,2005.0,Expired Muni Meter,PARK AVE,Bronx,65.0,,,,,,,0,Medium,9.0,6-10,OTHER,0,NY,Passenger,AVE,57350.0,660.0,1.0,0,1-2,Standard,1,29,1
5617615454,JWD9087,CT,PAS,,37,VAN,HONDA,GRAY,2010.0,Expired Muni Meter,ATLANTIC AVE,Queens,65.0,,,,,,,0,Medium,4.0,0-5,Commercial,1,Tri-State,Passenger,AVE,56870.0,658.0,1.0,0,1-2,Standard,1,29,1
4605233923,XQQ9621,NY,PAS,2013-11-28,20,SDN,MAZDA,,2011.0,No Parking - Day/Time Limits,FULTON ST,Bronx,65.0,11.0,November,4.0,Thursday,3.0,48,0,Medium,3.0,0-5,OTHER,0,NY,Passenger,ST,58275.0,675.0,1.0,0,1-2,Standard,1,35,1
7501225367,RFL9235,NY,COM,2014-05-18,71,,OTHER,RED,2012.0,Inspection Sticker Expired,MADISON AVE,Manhattan,65.0,5.0,May,2.0,Sunday,6.0,20,1,Medium,2.0,0-5,OTHER,0,NY,Other,AVE,58890.0,676.0,1.0,0,1-2,Standard,1,35,1
5090885943,CHM8230,NJ,PAS,2014-05-13,14,DELV,TOYOTA,GRAY,2012.0,No Standing - Day/Time Limits,JAMAICA AVE,Manhattan,115.0,5.0,May,2.0,Tuesday,1.0,20,0,High,2.0,0-5,Commercial,1,Tri-State,Passenger,AVE,59330.0,692.0,1.0,0,1-2,Standard,1,36,1
7110545602,ZKW8118,NY,IRP,,21,SDN,HYUNDAI,SILVER,,No Parking - Street Cleaning,COLUMBUS AVE,Manhattan,65.0,,,,,,,0,Medium,,,OTHER,0,NY,Other,AVE,54800.0,650.0,1.0,0,1-2,Standard,1,26,1
2628199646,HKD9983,NY,irp,2014-04-22,46,VAN,TOYOTA,YELLOW,2006.0,Double Parking,PARK AVE,Brooklyn,115.0,4.0,April,2.0,Tuesday,1.0,17,0,High,8.0,6-10,Commercial,0,NY,Other,AVE,57350.0,660.0,1.0,0,1-2,Safety-Critical,0,36,1
5781301505,KTE6508,TX,PAS,,98,DELV,AUDI,SILVER,2011.0,Blocking Intersection,FULTON ST,Brooklyn,115.0,,,,,,,0,High,3.0,0-5,Commercial,1,Other,Passenger,ST,58275.0,675.0,1.0,0,1-2,Standard,0,29,1
5801195339,LRF3998,NY,PAS,2014-06-26,71,SUBN,AUDI,SILVER,2000.0,Inspection Sticker Expired,COLUMBUS AVE,Manhattan,65.0,6.0,June,2.0,Thursday,3.0,26,0,Medium,14.0,11-15,Passenger,0,NY,Passenger,AVE,54800.0,650.0,1.0,0,1-2,Standard,1,36,1
6579926978,VGS7007,NY,PAS,,46,SUV,NISSAN,BLUE,2012.0,Double Parking,MADISON AVE,Bronx,115.0,,,,,,,0,High,2.0,0-5,OTHER,0,NY,Passenger,AVE,58890.0,676.0,1.0,0,1-2,Safety-Critical,0,29,1
6555733635,NZB5711,NY,PAS,2013-07-24,38,SUV,HYUNDAI,WHITE,2009.0,Failure to Display Muni Meter Receipt,AMSTERDAM AVE,,65.0,7.0,July,3.0,Wednesday,2.0,30,0,Medium,5.0,0-5,OTHER,0,NY,Passenger,AVE,58295.0,663.0,1.0,0,1-2,Standard,0,35,1
1915111272,GUC1916,UNKNOWN,PAS,,98,VAN,TOYOTA,SILVER,2003.0,Blocking Intersection,ATLANTIC AVE,Manhattan,115.0,,,,,,,0,High,11.0,11-15,Commercial,1,Other,Passenger,AVE,56870.0,658.0,1.0,0,1-2,Standard,0,29,1
7738124846,KKA6460,NY,COM,2013-10-25,14,SDN,HYUNDAI,ORANGE,2004.0,No Standing - Day/Time Limits,FLATBUSH AVE,Brooklyn,115.0,10.0,October,4.0,Friday,4.0,43,0,High,10.0,6-10,OTHER,0,NY,Other,AVE,58250.0,690.0,1.0,0,1-2,Standard,1,36,1
3097088483,XGE6438,UNKNOWN,PAS,2013-11-26,14,suv,TOYOTA,BLACK,2000.0,No Standing - Day/Time Limits,BROADWAY,Manhattan,115.0,11.0,November,4.0,Tuesday,1.0,48,0,High,14.0,11-15,OTHER,1,Other,Passenger,BROADWAY,59700.0,710.0,1.0,0,1-2,Standard,1,36,1
2527909147,JYV0968,NJ,IRP,,83,SDN,FORD,BLACK,2009.0,Improper Registration,FORDHAM RD,Bronx,65.0,,,,,,,0,Medium,5.0,0-5,OTHER,1,Tri-State,Other,RD,61945.0,723.0,1.0,0,1-2,Standard,0,29,1
7938649578,LQS7557,NY,APP,2013-10-28,74,SUV,MAZDA,SILVER,2010.0,Missing Required Equipment,RICHMOND AVE,Manhattan,65.0,10.0,October,4.0,Monday,0.0,44,0,Medium,4.0,0-5,OTHER,0,NY,Other,AVE,58315.0,661.0,1.0,0,1-2,Standard,0,36,1
6706086556,VQE8861,NY,PAS,2013-08-21,14,SDN,BMW,,2012.0,No Standing - Day/Time Limits,MADISON AVE,Staten Island,115.0,8.0,August,3.0,Wednesday,2.0,34,0,High,2.0,0-5,OTHER,0,NY,Passenger,AVE,58890.0,676.0,1.0,0,1-2,Standard,1,35,1
2519957781,PXG1100,UNKNOWN,PAS,,20,SUV,VOLVO,,2014.0,No Parking - Day/Time Limits,COLUMBUS AVE,Bronx,65.0,,,,,,,0,Medium,0.0,0-5,OTHER,1,Other,Passenger,AVE,54800.0,650.0,1.0,0,1-2,Standard,1,28,1
5317105328,ZSK5118,NY,PAS,2013-11-20,14,SUV,OTHER,WHITE,2005.0,No Standing - Day/Time Limits,MADISON AVE,Manhattan,115.0,11.0,November,4.0,Wednesday,2.0,47,0,High,9.0,6-10,OTHER,0,NY,Passenger,AVE,58890.0,676.0,1.0,0,1-2,Standard,1,36,1
6094508552,DXV8048,MA,,2014-02-18,21,sdn,BMW,SILVER,,No Parking - Street Cleaning,HILLSIDE AVE,Manhattan,65.0,2.0,February,1.0,Tuesday,1.0,8,0,Medium,,,OTHER,1,Other,Other,AVE,58535.0,679.0,1.0,0,1-2,Standard,1,32,1
2522704758,QNH3659,NY,COM,2014-05-22,98,SDN,TOYOTA,SILVER,2009.0,Blocking Intersection,5TH AVE,Bronx,115.0,5.0,May,2.0,Thursday,3.0,21,0,High,5.0,0-5,OTHER,0,NY,Other,AVE,58895.0,683.0,1.0,0,1-2,Standard,0,36,1
5730209740,JHB5495,NJ,PAS,,14,SUBN,NISSAN,GRAY,2014.0,No Standing - Day/Time Limits,JAMAICA AVE,Queens,115.0,,,,,,,0,High,0.0,0-5,Passenger,1,Tri-State,Passenger,AVE,59330.0,692.0,1.0,0,1-2,Standard,1,29,1
3113322013,KXH6149,CT,PAS,2013-09-22,74,DELV,TOYOTA,GRAY,2006.0,Missing Required Equipment,LEXINGTON AVE,Queens,65.0,9.0,September,3.0,Sunday,6.0,38,1,Medium,8.0,6-10,Commercial,1,Tri-State,Passenger,AVE,59390.0,696.0,1.0,0,1-2,Standard,0,36,1
9953906342,PZZ1116,PA,PAS,,40,SUV,HONDA,BLACK,2007.0,Fire Hydrant,RICHMOND AVE,Bronx,115.0,,,,,,,0,High,7.0,6-10,OTHER,1,Other,Passenger,AVE,58315.0,661.0,1.0,0,1-2,Safety-Critical,0,29,1
5955149585,CBH1148,NY,PAS,2013-12-29,46,,HONDA,BLACK,2012.0,Double Parking,BROADWAY,Manhattan,115.0,12.0,December,4.0,Sunday,6.0,52,1,High,2.0,0-5,OTHER,0,NY,Passenger,BROADWAY,59700.0,710.0,1.0,0,1-2,Safety-Critical,0,35,1
3093419287,XFE2701,UNKNOWN,PAS,2013-10-16,21,SDN,AUDI,GRAY,2009.0,No Parking - Street Cleaning,JAMAICA AVE,Brooklyn,65.0,10.0,October,4.0,Wednesday,2.0,42,0,Medium,5.0,0-5,OTHER,1,Other,Passenger,AVE,59330.0,692.0,1.0,0,1-2,Standard,1,36,1
8115186493,XYK9402,NY,PAS,,37,,HONDA,BLACK,2006.0,Expired Muni Meter,FLATBUSH AVE,Manhattan,65.0,,,,,,,0,Medium,8.0,6-10,OTHER,0,NY,Passenger,AVE,58250.0,690.0,1.0,0,1-2,Standard,1,28,1
6266038941,ADF8722,PA,PAS,2013-11-14,46,SUBN,LEXUS,BLUE,2008.0,Double Parking,AMSTERDAM AVE,Bronx,115.0,11.0,November,4.0,Thursday,3.0,46,0,High,6.0,6-10,Passenger,1,Other,Passenger,AVE,58295.0,663.0,1.0,0,1-2,Safety-Critical,0,36,1
6993020535,VVM0767,NY,PAS,2014-06-25,46,,TOYOTA,RED,2008.0,Double Parking,HILLSIDE AVE,Queens,115.0,6.0,June,2.0,Wednesday,2.0,26,0,High,6.0,6-10,OTHER,0,NY,Passenger,AVE,58535.0,679.0,1.0,0,1-2,Safety-Critical,0,35,1
6580386377,RRQ5694,NY,OMT,2014-06-15,21,VAN,TOYOTA,BLACK,2000.0,No Parking - Street Cleaning,ATLANTIC AVE,Brooklyn,65.0,6.0,June,2.0,Sunday,6.0,24,1,Medium,14.0,11-15,Commercial,0,NY,Other,AVE,56870.0,658.0,1.0,0,1-2,Standard,1,36,1
8780521609,MBN8841,NJ,PAS,2014-05-28,40,SDN,CHEVROLET,WHITE,2012.0,Fire Hydrant,NOSTRAND AVE,Manhattan,115.0,5.0,May,2.0,Wednesday,2.0,22,0,High,2.0,0-5,OTHER,1,Tri-State,Passenger,AVE,60875.0,705.0,1.0,0,1-2,Safety-Critical,0,36,1
8899980156,REH6086,UNKNOWN,COM,,21,SDN,OTHER,WHITE,2012.0,No Parking - Street Cleaning,BROADWAY,Brooklyn,65.0,,,,,,,0,Medium,2.0,0-5,OTHER,1,Other,Other,BROADWAY,59700.0,710.0,1.0,0,1-2,Standard,1,29,1
1695073055,JBS8774,NY,PAS,,40,SDN,TOYOTA,SILVER,2000.0,Fire Hydrant,FORDHAM RD,Brooklyn,115.0,,,,,,,0,High,14.0,11-15,OTHER,0,NY,Passenger,RD,61945.0,723.0,1.0,0,1-2,Safety-Critical,0,29,1
2863844675,GMZ3138,NY,PAS,,46,SDN,TOYOTA,BLACK,1999.0,Double Parking,COLUMBUS AVE,Queens,115.0,,,,,,,0,High,15.0,11-15,OTHER,0,NY,Passenger,AVE,54800.0,650.0,1.0,0,1-2,Safety-Critical,0,29,1
1852399067,VZQ2194,NY,PAS,2013-09-26,46,SUBN,AUDI,WHITE,2000.0,Double Parking,RICHMOND AVE,Queens,115.0,9.0,September,3.0,Thursday,3.0,39,0,High,14.0,11-15,Passenger,0,NY,Passenger,AVE,58315.0,661.0,1.0,0,1-2,Safety-Critical,0,36,1
