Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Vehicle Color,Vehicle Year,Violation Description,Street Name,Violation County,Fine Amount
2673161789,UFU0033,NY,PAS,05/05/14,21,SDN,HONDA,WHITE,2005,No Parking - Street Cleaning,5TH AVE,Manhattan,65
8944100417,CKU1705,CT,COM,07/14/2013,14,SDN,CHEVROLET,BLACK,2000,No Standing - Day/Time Limits,BROADWAY,Queens,115
5842885728,KRA6870,MD,COM,04/14/2014,46,SUV,CHEVROLET,BLACK,2005,Double Parking,GRAND CONCOURSE,Manhattan,115
9630725905,TRY8893,NY,COM,10/10/13,74,SDN,VOLKSWAGEN,BLACK,2011,Missing Required Equipment,PARK AVE,Manhattan,
1542747974,WMR8980,NY,OMT,05/29/2014,83,SDN,NISSAN,WHITE,2001,Improper Registration,RICHMOND AVE,Brooklyn,65
8453582359,EAN6467,NJ,PAS,06/25/2014,14,SUV,CHEVROLET,GREEN,2011,No Standing - Day/Time Limits,HILLSIDE AVE,Brooklyn,115
9480412265,PVK7986,NY,IRP,04/06/14,21,bus,BMW,GRAY,2000,No Parking - Street Cleaning,FULTON ST,Bronx,65
7909326720,VBP5870,NJ,PAS,31/01/14,37,VAN,VOLVO,,2013,Expired Muni Meter,ATLANTIC AVE,Manhattan,
8330593321,YFW5025,NJ,APP,,46,SDN,TOYOTA,SILVER,2001,Double Parking,NOSTRAND AVE,Brooklyn,115
6081395246,BMB1166,CA,PAS,02/15/2014,20,SUV,HONDA,WHITE,1998,No Parking - Day/Time Limits,BEDFORD AVE,Queens,65
9530862812,JWS6488,NY,PAS,04/28/2014,40,SUV,VOLVO,SILVER,9999,Fire Hydrant,GRAND CONCOURSE,Manhattan,115
8724365118,CSM6581,NY,COM,11/20/2013,20,,VOLVO,WH,2000,No Parking - Day/Time Limits,LEXINGTON AVE,Queens,65
7452025499,LRT9304,NY,com,07/04/13,14,SDN,HONDA,SILVER,2004,No Standing - Day/Time Limits,BEDFORD AVE,Manhattan,115
4496203239,HQK7698,NY,PAS,09/20/2013,37,SDN,HONDA,WHITE,2012,Expired Muni Meter,JAMAICA AVE,Manhattan,65
4684744684,JVW9329,MA,COM,06/23/2014,46,SUBN,CHEVROLET,YELLOW,2001,Double Parking,FLATBUSH AVE,Bronx,115
9364254047,YRV7763,CA,PAS,02/02/14,74,VAN,TOYOTA,,2006,Missing Required Equipment,RICHMOND AVE,Staten Island,65
9977085483,JLT8744,FL,PAS,12/22/2013,46,SUBN,NISSAN,RED,,Double Parking,BEDFORD AVE,Bronx,115
1341341981,CDC7249,NY,COM,11/20/2013,40,BUS,TOYOTA,GRAY,1999,Fire Hydrant,LEXINGTON AVE,,115
4135124384,QJZ9696,NJ,PAS,09/18/2013,74,SDN,TOYOTA,BLACK,1999,Missing Required Equipment,NOSTRAND AVE,Manhattan,65
5058172647,NJQ5711,NY,PAS,10/19/2013,46,COMO,BMW,BLACK,1998,Double Parking,NOSTRAND AVE,Queens,115
1246580623,BES8451,MA,APP,12/20/2013,40,SUV,VOLVO,YELLOW,2010,Fire Hydrant,FULTON ST,Brooklyn,115
8487886592,CCL5136,NY,PAS,08/22/2013,46,SDN,CHEVROLET,BROWN,1998,Double Parking,COLUMBUS AVE,Manhattan,115
4755317390,BUM2331,ny,PAS,08/17/2013,14,TAXI,FORD,GRAY,2005,No Standing - Day/Time Limits,AMSTERDAM AVE,Brooklyn,115
4138750794,TMF3341,,PAS,01/11/14,74,SUV,CADILLAC,BLACK,2013,Missing Required Equipment,NOSTRAND AVE,Manhattan,65
7355073910,SUY2515,nj,PAS,08/19/2013,20,SUV,BMW,WHITE,1998,No Parking - Day/Time Limits,BEDFORD AVE,Bronx,65
3997380182,WQG3451,PA,OMT,12/31/2013,37,SDN,,WHITE,2008,Expired Muni Meter,FORDHAM RD,Manhattan,65
2741486648,PBR5397,NY,PAS,12/24/2013,21,SDN,CHEVROLET,,2004,No Parking - Street Cleaning,MADISON AVE,Queens,65
3646930819,GTW3763,TX,com,06/05/14,14,BUS,HONDA,BLACK,2005,No Standing - Day/Time Limits,FULTON ST,Brooklyn,115
4203690252,SMM8030,NJ,PAS,11/13/2013,36,SUV,BMW,WHITE,2011,Exceeding Parking Time Limit,FORDHAM RD,Brooklyn,65
8362261450,HHH3560,NJ,,07/23/2013,71,BUS,CHEVROLET,GRAY,2012,Inspection Sticker Expired,JAMAICA AVE,Brooklyn,0
8514766634,JWD9165,NJ,PAS,02/21/2014,21,,FORD,RED,2003,No Parking - Street Cleaning,PARK AVE,Manhattan,65
3616466630,EQW4348,CT,PAS,04/01/14,40,sdn,HONDA,BROWN,,Fire Hydrant,PARK AVE,Staten Island,115
7903616825,ECN8798,NY,PAS,09/02/13,14,SDN,FORD,SILVER,1998,No Standing - Day/Time Limits,,Bronx,
5143128978,HKU2962,NY,OMS,01/10/14,38,SUV,BMW,RED,2009,Failure to Display Muni Meter Receipt,GRAND CONCOURSE,Bronx,65
1966662179,BTA1474,NY,PAS,08/10/13,37,SDN,TOYOTA,BLACK,2005,Expired Muni Meter,PARK AVE,Bronx,65
5617615454,JWD9087,CT,PAS,04/09/14,37,VAN,HONDA,GRAY,2010,Expired Muni Meter,ATLANTIC AVE,queens,65
4605233923,XQQ9621,NY,PAS,11/28/2013,20,SDN,MAZDA,,2011,No Parking - Day/Time Limits,FULTON ST,Bronx,65
7501225367,RFL9235,NY,COM,05/18/2014,71,,,RED,2012,Inspection Sticker Expired,MADISON AVE,Manhattan,65
5090885943,CHM8230,NJ,PAS,05/13/2014,14,DELV,TOYOTA,GRAY,2012,No Standing - Day/Time Limits,JAMAICA AVE,Manhattan,115
7110545602,ZKW8118,NY,IRP,01/02/14,21,SDN,HYUNDAI,SILVER,,No Parking - Street Cleaning,COLUMBUS AVE,Manhattan,65
2628199646,HKD9983,NY,irp,04/22/2014,46,VAN,TOYOTA,YELLOW,2006,Double Parking,PARK AVE,Brooklyn,115
5781301505,KTE6508,TX,PAS,10/07/13,98,DELV,AUDI,SILVER,2011,Blocking Intersection,FULTON ST,Brooklyn,115
5801195339,LRF3998,NY,PAS,06/26/2014,71,SUBN,AUDI,SILVER,2000,Inspection Sticker Expired,COLUMBUS AVE,Manhattan,65
6579926978,VGS7007,NY,PAS,08/05/13,46,SUV,NISSAN,BLUE,2012,Double Parking,MADISON AVE,Bronx,115
6555733635,NZB5711,NY,PAS,07/24/2013,38,SUV,HYUNDAI,WHITE,2009,Failure to Display Muni Meter Receipt,AMSTERDAM AVE,,65
1915111272,GUC1916,ny,PAS,06/04/14,98,VAN,TOYOTA,SILVER,2003,Blocking Intersection,ATLANTIC AVE,Manhattan,115
7738124846,KKA6460,NY,COM,10/25/2013,14,SDN,HYUNDAI,ORANGE,2004,No Standing - Day/Time Limits,FLATBUSH AVE,Brooklyn,115
3097088483,XGE6438,CA,PAS,11/26/2013,14,suv,TOYOTA,BLACK,2000,No Standing - Day/Time Limits,BROADWAY,Manhattan,115
2527909147,JYV0968,NJ,IRP,08/10/13,83,SDN,FORD,BLACK,2009,Improper Registration,FORDHAM RD,Bronx,65
7938649578,LQS7557,NY,APP,10/28/2013,74,SUV,MAZDA,SILVER,2010,Missing Required Equipment,RICHMOND AVE,Manhattan,65
6706086556,VQE8861,NY,PAS,08/21/2013,14,SDN,BMW,,2012,No Standing - Day/Time Limits,MADISON AVE,staten island,115
2519957781,PXG1100,,PAS,01/11/14,20,SUV,VOLVO,,2014,No Parking - Day/Time Limits,COLUMBUS AVE,Bronx,65
5317105328,ZSK5118,NY,PAS,11/20/2013,14,SUV,,WHITE,2005,No Standing - Day/Time Limits,MADISON AVE,Manhattan,115
6094508552,DXV8048,MA,,02/18/2014,21,sdn,BMW,SILVER,9999,No Parking - Street Cleaning,HILLSIDE AVE,Manhattan,65
2522704758,QNH3659,NY,COM,05/22/2014,98,SDN,TOYOTA,SILVER,2009,Blocking Intersection,5TH AVE,Bronx,115
5730209740,JHB5495,NJ,PAS,01/03/14,14,SUBN,NISSAN,GRAY,2014,No Standing - Day/Time Limits,JAMAICA AVE,Queens,115
3113322013,KXH6149,CT,PAS,09/22/2013,74,DELV,TOYOTA,GRAY,2006,Missing Required Equipment,LEXINGTON AVE,Queens,65
9953906342,PZZ1116,PA,PAS,01/06/14,40,SUV,HONDA,BLACK,2007,Fire Hydrant,RICHMOND AVE,Bronx,115
5955149585,CBH1148,NY,PAS,12/29/2013,46,,HONDA,BLACK,2012,Double Parking,BROADWAY,Manhattan,115
3093419287,XFE2701,ny,PAS,10/16/2013,21,SDN,AUDI,GRAY,2009,No Parking - Street Cleaning,JAMAICA AVE,Brooklyn,65
8115186493,XYK9402,NY,PAS,06/09/14,37,,HONDA,BLACK,2006,Expired Muni Meter,FLATBUSH AVE,Manhattan,65
6266038941,ADF8722,PA,PAS,11/14/2013,46,SUBN,LEXUS,BLUE,2008,Double Parking,AMSTERDAM AVE,Bronx,115
6993020535,VVM0767,NY,PAS,06/25/2014,46,,TOYOTA,RED,2008,Double Parking,HILLSIDE AVE,Queens,115
6580386377,RRQ5694,NY,OMT,06/15/2014,21,VAN,TOYOTA,BLACK,2000,No Parking - Street Cleaning,ATLANTIC AVE,Brooklyn,65
8780521609,MBN8841,NJ,PAS,05/28/2014,40,SDN,CHEVROLET,WHITE,2012,Fire Hydrant,NOSTRAND AVE,Manhattan,115
8899980156,REH6086,ny,COM,08/06/13,21,SDN,ACURA,WHITE,2012,No Parking - Street Cleaning,BROADWAY,Brooklyn,65
1695073055,JBS8774,NY,PAS,05/08/14,40,SDN,TOYOTA,SILVER,2000,Fire Hydrant,FORDHAM RD,Brooklyn,115
2863844675,GMZ3138,NY,PAS,,46,SDN,TOYOTA,BLACK,1999,Double Parking,COLUMBUS AVE,Queens,115
1852399067,VZQ2194,NY,PAS,09/26/2013,46,SUBN,AUDI,WHITE,2000,Double Parking,RICHMOND AVE,Queens,115
6109151668,UTP3151,VA,PAS,03/31/2014,46,SUV,FORD,BLACK,2002,Double Parking,NOSTRAND AVE,Bronx,115
1172899535,VNE3161,NY,APP,11/03/13,46,VAN,HYUNDAI,ORANGE,2010,Double Parking,HILLSIDE AVE,Brooklyn,115
6989529491,PLA8701,NJ,PAS,09/22/2013,40,SUV,HONDA,RED,1998,Fire Hydrant,JAMAICA AVE,Manhattan,115
8490096480,JXU2565,VA,OMT,02/22/2014,40,SUV,CHEVROLET,GREEN,2006,Fire Hydrant,FULTON ST,Queens,115
4869756151,BLP1012,NY,PAS,01/11/14,21,SUBN,HONDA,white,2014,No Parking - Street Cleaning,JAMAICA AVE,Queens,65
2141600678,TJV9904,NY,COM,11/16/2013,74,SUV,CHEVROLET,WHITE,1998,Missing Required Equipment,,Queens,65
7103557930,,NY,PAS,05/24/2014,46,SDN,AUDI,WHITE,2003,Double Parking,JAMAICA AVE,bronx,115
7657730492,YXP6673,MA,PAS,06/18/2014,40,VAN,AUDI,ORANGE,2008,Fire Hydrant,COLUMBUS AVE,Brooklyn,115
4067985169,LNS4729,CT,PAS,04/12/14,21,BUS,BMW,BLACK,2004,No Parking - Street Cleaning,5TH AVE,Brooklyn,65
9082125721,XJQ8572,NY,COM,10/21/2013,74,SUV,KIA,GRAY,2001,Missing Required Equipment,AMSTERDAM AVE,Brooklyn,65
2670091632,XPJ1810,NY,PAS,06/16/2014,37,SUV,HONDA,GRAY,2005,Expired Muni Meter,HILLSIDE AVE,Manhattan,65
1090848040,BHP2617,CA,PAS,12/14/2013,38,SDN,HONDA,RED,1998,Failure to Display Muni Meter Receipt,GRAND CONCOURSE,Manhattan,65
5963015056,CQM3698,,PAS,07/29/2013,14,PICK,NISSAN,BLACK,2001,No Standing - Day/Time Limits,COLUMBUS AVE,Manhattan,115
3147487660,KJQ9300,NJ,PAS,10/26/2013,40,PICK,NISSAN,SILVER,2005,Fire Hydrant,MADISON AVE,,115
2015780972,XXD2478,NJ,PAS,07/17/2013,83,DELV,TOYOTA,WH,2004,Improper Registration,JAMAICA AVE,Brooklyn,65
6764451684,MZA7881,CT,PAS,,71,SDN,MERCEDES,GRAY,2005,Inspection Sticker Expired,LEXINGTON AVE,Brooklyn,65
4167244443,PDB0756,MA,PAS,01/22/2014,40,PICK,CHEVROLET,,2004,Fire Hydrant,BEDFORD AVE,Bronx,115
7160394051,UJW6783,CT,PAS,11/15/2013,74,SDN,AUDI,GRAY,2009,Missing Required Equipment,RICHMOND AVE,Manhattan,65
6538217006,VBD7947,MA,PAS,08/03/13,37,SUV,JEEP,BLUE,2009,Expired Muni Meter,NOSTRAND AVE,Brooklyn,65
3087050235,VBH8291,PA,PAS,,40,SUV,MERCEDES,BLACK,2007,Fire Hydrant,MADISON AVE,Queens,115
8563007469,,NY,PAS,04/17/2014,14,DELV,TOYOTA,WHITE,2013,No Standing - Day/Time Limits,RICHMOND AVE,Manhattan,115
3195758393,KZB4775,NY,PAS,12/09/13,40,VAN,NISSAN,BLUE,2007,Fire Hydrant,MADISON AVE,Manhattan,
6366418987,VAV5507,TX,OMS,10/17/2013,21,DELV,AUDI,GRAY,2003,No Parking - Street Cleaning,5TH AVE,Manhattan,65
4293069999,YTS9153,NY,COM,06/01/14,37,DELV,HONDA,BROWN,2004,Expired Muni Meter,JAMAICA AVE,Manhattan,65
9006535478,ACB5906,CT,PAS,03/13/2014,40,SUV,CHEVROLET,SILVER,2000,Fire Hydrant,,Bronx,115
8819457893,LVE7264,PA,SRF,01/19/2014,71,VAN,VOLVO,SILVER,2001,Inspection Sticker Expired,ATLANTIC AVE,Bronx,65
6147142330,ARZ2662,NY,OMT,05/26/2014,36,SDN,FORD,WHITE,,Exceeding Parking Time Limit,GRAND CONCOURSE,Queens,65
4478719374,HDB3882,NY,PAS,,21,SUV,HONDA,RED,2004,No Parking - Street Cleaning,FORDHAM RD,Bronx,65
1778197615,BRC1337,NY,PAS,09/12/13,20,SDN,HONDA,RED,2006,No Parking - Day/Time Limits,FLATBUSH AVE,Bronx,65
3725058806,DTU9612,NY,PAS,11/13/2013,71,PICK,,SILVER,2002,Inspection Sticker Expired,GRAND CONCOURSE,Manhattan,65
1985197631,LWS1037,CT,PAS,09/10/13,71,TAXI,mazda,BLACK,2004,Inspection Sticker Expired,RICHMOND AVE,Bronx,65
5863173472,VQU9579,NY,COM,11/04/13,37,SDN,MERCEDES,YELLOW,2005,Expired Muni Meter,BEDFORD AVE,Brooklyn,65
5459749856,MML3054,MA,,04/14/2014,14,SUBN,FORD,BLACK,2004,No Standing - Day/Time Limits,MADISON AVE,Bronx,115
5253730454,UQC9246,NY,OMT,04/02/14,20,SUV,NISSAN,WHITE,2014,No Parking - Day/Time Limits,JAMAICA AVE,Bronx,65
4990446958,GMA3537,CT,PAS,11/12/13,46,SUV,NISSAN,BK,2011,Double Parking,FORDHAM RD,Brooklyn,115
2830957372,NVR7821,NY,COM,,83,SUV,MERCEDES,RED,2014,Improper Registration,MADISON AVE,Manhattan,65
3647707140,SMZ6770,NY,PAS,02/05/14,14,sdn,HONDA,GRAY,2009,No Standing - Day/Time Limits,FORDHAM RD,Manhattan,115
5513818912,VJM3315,NY,PAS,04/25/2014,19,SDN,NISSAN,YELLOW,1999,No Standing - Bus Stop,AMSTERDAM AVE,Brooklyn,115
1993974205,NHR7098,NY,PAS,01/21/2014,40,SUBN,CHEVROLET,WHITE,2009,Fire Hydrant,ATLANTIC AVE,Bronx,115
6738840177,UQL6304,NJ,COM,01/02/14,36,SDN,TOYOTA,WHITE,2009,Exceeding Parking Time Limit,FORDHAM RD,Bronx,65
3058127882,WXA9790,MA,COM,10/21/2013,38,SUBN,BMW,RED,2006,Failure to Display Muni Meter Receipt,NOSTRAND AVE,Manhattan,65
7484815168,MRE6363,NY,PAS,,20,SUV,INFINITI,WHITE,2012,No Parking - Day/Time Limits,JAMAICA AVE,Brooklyn,65
3765414165,FHG7079,NY,PAS,03/18/2014,46,DELV,FORD,BROWN,2008,Double Parking,AMSTERDAM AVE,Brooklyn,115
2306915575,SLS5595,NJ,PAS,03/10/14,40,,VOLVO,GREEN,2012,Fire Hydrant,COLUMBUS AVE,Manhattan,115
6451370453,RXD9197,FL,COM,08/16/2013,40,van,TOYOTA,,2010,Fire Hydrant,GRAND CONCOURSE,Manhattan,115
2795615023,DRY0737,NY,PAS,07/25/2013,21,SDN,HYUNDAI,BROWN,2013,No Parking - Street Cleaning,BROADWAY,Brooklyn,65
1204253178,CEK6346,NY,PAS,08/26/2013,21,SDN,TOYOTA,WHITE,2001,No Parking - Street Cleaning,LEXINGTON AVE,Bronx,65
1175617484,GYA6344,NY,COM,09/17/2013,14,MC,FORD,SILVER,2003,No Standing - Day/Time Limits,ATLANTIC AVE,Brooklyn,115
9813833954,GGZ1289,NY,PAS,05/18/2014,37,SUV,MERCEDES,YELLOW,2008,Expired Muni Meter,BROADWAY,,65
8493664415,GPM1014,NY,PAS,,46,,MERCEDES,,2004,Double Parking,JAMAICA AVE,Queens,115
6205403961,FDM0227,NY,PAS,06/14/2014,21,PICK,AUDI,black,2002,No Parking - Street Cleaning,AMSTERDAM AVE,,65
7322441686,,NY,OMS,02/02/14,74,SDN,NISSAN,WHITE,,Missing Required Equipment,amsterdam ave,Staten Island,65
5727735496,HKL5986,NY,PAS,05/02/14,46,SUBN,MERCEDES,BLACK,1999,Double Parking,PARK AVE,Staten Island,115
6088849062,VSU6072,NY,,08/02/13,83,SDN,DODGE,GRAY,1998,Improper Registration,COLUMBUS AVE,Manhattan,65
9368005850,VLQ7952,NY,PAS,01/14/2014,38,SUV,CHEVROLET,SILVER,2004,Failure to Display Muni Meter Receipt,MADISON AVE,Brooklyn,65
6856536838,DMG5191,NY,PAS,01/12/14,21,SDN,HONDA,WHITE,2005,No Parking - Street Cleaning,GRAND CONCOURSE,Brooklyn,65
2307202048,LZF2896,NY,PAS,05/02/14,20,SDN,HONDA,GRAY,,No Parking - Day/Time Limits,HILLSIDE AVE,Manhattan,65
9648610631,CUD3080,NY,COM,02/25/2014,38,SUV,CHEVROLET,GREEN,2000,Failure to Display Muni Meter Receipt,HILLSIDE AVE,Manhattan,
4702151315,FUG7188,NY,SRF,03/28/2014,21,VAN,HYUNDAI,GRAY,2003,No Parking - Street Cleaning,LEXINGTON AVE,Queens,65
6717510876,AVZ6210,PA,PAS,11/06/13,21,TAXI,TOYOTA,WHITE,2013,No Parking - Street Cleaning,HILLSIDE AVE,Brooklyn,65
2595976710,DCV2618,NY,com,04/10/14,21,SUBN,TOYOTA,ORANGE,2009,No Parking - Street Cleaning,BROADWAY,Manhattan,65
8087762657,RAA1762,CT,PAS,07/06/13,40,suv,TOYOTA,BLACK,2013,Fire Hydrant,BROADWAY,Manhattan,115
2649479425,JDB6264,NY,SRF,06/14/2014,14,VAN,MERCEDES,BLUE,2003,No Standing - Day/Time Limits,FLATBUSH AVE,Bronx,115
4810468370,RYT3221,NY,PAS,,20,SUV,HONDA,WHITE,2006,No Parking - Day/Time Limits,BROADWAY,Manhattan,65
1516917996,CVC6667,NJ,PAS,06/15/2014,21,SUV,HONDA,GRAY,2014,No Parking - Street Cleaning,AMSTERDAM AVE,Manhattan,65
1817906089,TKS5832,NY,PAS,04/01/14,38,SDN,MERCEDES,GRAY,2001,Failure to Display Muni Meter Receipt,BROADWAY,Brooklyn,65
8321459188,ZHZ4163,NY,APP,11/14/2013,46,DELV,AUDI,GRAY,2000,Double Parking,ATLANTIC AVE,Staten Island,115
4974994992,GQV6911,NY,PAS,05/25/2014,40,SUV,FORD,GRAY,,Fire Hydrant,BROADWAY,Manhattan,115
6767702860,PQV5697,NY,PAS,12/22/2013,21,BUS,MERCEDES,BLACK,2003,No Parking - Street Cleaning,MADISON AVE,Queens,65
8410324652,XEN3940,NY,PAS,08/27/2013,21,DELV,TOYOTA,GRAY,2010,No Parking - Street Cleaning,BROADWAY,Queens,65
4095681282,RCS8883,nj,,11/28/2013,14,SUV,MAZDA,GRAY,2011,No Standing - Day/Time Limits,MADISON AVE,Manhattan,115
1188167272,VXJ2744,NY,TRC,08/02/14,21,VAN,FORD,BLACK,1998,No Parking - Street Cleaning,nostrand ave,Queens,65
6118341434,XPG5048,MD,PAS,09/19/2013,14,SUV,CADILLAC,BK,2001,No Standing - Day/Time Limits,BROADWAY,Brooklyn,115
9483102271,APW9351,NY,PAS,02/18/2014,46,SDN,ACURA,GREEN,2001,Double Parking,AMSTERDAM AVE,Queens,115
9138589488,LVV4578,NY,OMT,07/02/13,46,SUV,AUDI,BROWN,2003,Double Parking,RICHMOND AVE,Queens,115
4080891187,XWR3510,CA,PAS,11/12/13,40,DELV,TOYOTA,RED,2006,Fire Hydrant,,Brooklyn,115
9207034721,ADJ8314,NY,COM,03/14/2014,14,DELV,MERCEDES,WHITE,1999,No Standing - Day/Time Limits,MADISON AVE,Manhattan,115
5585773087,LPZ8816,OH,PAS,09/30/2013,46,SUBN,TOYOTA,SILVER,2014,Double Parking,5TH AVE,Bronx,115
1093951990,APK1681,NY,PAS,03/17/2014,74,SUV,SUBARU,BLUE,2009,Missing Required Equipment,FORDHAM RD,Brooklyn,65
7868312675,ESU2362,NY,PAS,08/24/2013,37,SDN,JEEP,WHITE,2007,Expired Muni Meter,FLATBUSH AVE,,65
5848735640,SQF6559,NY,PAS,05/17/2014,46,,ACURA,GRAY,2010,Double Parking,5TH AVE,Manhattan,0
3431702140,MPD9474,NY,PAS,11/30/2013,14,COMO,MERCEDES,GRAY,2002,No Standing - Day/Time Limits,GRAND CONCOURSE,Queens,115
3979862624,PTJ7673,NY,PAS,05/24/2014,14,VAN,,BLACK,2003,No Standing - Day/Time Limits,COLUMBUS AVE,Queens,115
7002190272,WTX1774,NY,PAS,03/17/2014,74,VAN,BMW,BLACK,2010,Missing Required Equipment,RICHMOND AVE,Manhattan,65
5172725742,SWV4128,NY,PAS,05/08/14,21,VAN,CHEVROLET,,2006,No Parking - Street Cleaning,5TH AVE,Brooklyn,65
6005862628,GAF9361,NY,COM,10/10/13,36,SUBN,BMW,RED,2014,Exceeding Parking Time Limit,,Manhattan,65
8642345291,MYG0692,NY,COM,09/17/2013,38,SUBN,NISSAN,BLACK,2011,Failure to Display Muni Meter Receipt,5TH AVE,Queens,65
2166058670,JJB5201,CA,COM,01/08/14,38,SUV,KIA,SILVER,2013,Failure to Display Muni Meter Receipt,RICHMOND AVE,Manhattan,65
1790558940,,NY,OMT,09/21/2013,21,SUV,MERCEDES,BLACK,2002,No Parking - Street Cleaning,BEDFORD AVE,Queens,65
3992397136,,CT,PAS,04/03/14,46,PICK,,SILVER,2012,Double Parking,NOSTRAND AVE,Brooklyn,115
7550139546,WDT1466,ny,COM,03/29/2014,20,SUV,VOLKSWAGEN,BROWN,2004,No Parking - Day/Time Limits,hillside ave,,65
6241304621,JVY9949,NY,APP,07/01/13,21,DELV,BMW,SILVER,1998,No Parking - Street Cleaning,,Manhattan,65
8336898091,MGE2627,NJ,PAS,05/03/14,40,DELV,FORD,RED,2011,Fire Hydrant,NOSTRAND AVE,Brooklyn,115
3371470157,ZLT1496,PA,COM,12/13/2013,19,VAN,,GRAY,2001,No Standing - Bus Stop,NOSTRAND AVE,Manhattan,115
1734907971,PBZ1034,tx,PAS,,46,SDN,CHEVROLET,SILVER,2000,Double Parking,FULTON ST,Bronx,115
9785838644,BER2959,NY,PAS,07/10/13,14,SDN,TOYOTA,RED,2009,No Standing - Day/Time Limits,5TH AVE,Bronx,115
6318100546,UZY3809,NY,PAS,08/27/2013,21,SUV,chevrolet,BLUE,1998,No Parking - Street Cleaning,MADISON AVE,Manhattan,65
9757827766,CAE5504,NY,COM,02/01/14,37,DELV,CADILLAC,RED,2007,Expired Muni Meter,FLATBUSH AVE,Queens,65
9090011031,VZB6848,NJ,pas,12/05/13,38,PICK,TOYOTA,GY,2010,Failure to Display Muni Meter Receipt,BEDFORD AVE,Bronx,65
4982499657,CDM1997,NY,PAS,10/31/2013,46,,HYUNDAI,BLUE,2009,Double Parking,FORDHAM RD,Queens,115
4395692712,BZD6696,PA,PAS,,20,SUV,LEXUS,BLUE,2008,No Parking - Day/Time Limits,FULTON ST,Brooklyn,
4536520171,SNK7001,NJ,PAS,11/01/13,14,DELV,NISSAN,GREEN,2012,No Standing - Day/Time Limits,BROADWAY,Manhattan,115
3296067730,,FL,PAS,04/17/2014,46,SDN,MERCEDES,BLACK,2008,Double Parking,BEDFORD AVE,Manhattan,115
9595947379,MWY1572,NJ,PAS,08/10/13,40,BUS,HYUNDAI,GRAY,2012,Fire Hydrant,JAMAICA AVE,Bronx,115
6880283365,QRH4020,CT,,08/13/2013,98,SUV,CHEVROLET,SILVER,2014,Blocking Intersection,ATLANTIC AVE,Bronx,115
7654085764,QUQ7913,NY,PAS,03/06/14,46,TAXI,TOYOTA,GRAY,2012,Double Parking,LEXINGTON AVE,Queens,115
